wanted,position,positionid,from,start,end
Q5924597,Minister of National Assets,Q55717943,Q29813,2019-03-11,2012-11-05
Q16300930,President of the Chamber of Deputies,Q6594729,Q5818156,2018-03-11,2019-03
Q16938240,Minister of Mining,Q55718056,Q4850447,2018-03-11,2020-12-18
Q24827209,Intendant of the Region of O'Higgins,Q16579381,Q51048721,2018-03-11,
Q27469112,Minister of Energy,Q55717973,Q64596365,2018-03-11,2019-07-13
Q27473584,Minister of National Assets,Q55717943,Q5858483,2018-03-11,2019-10-28
Q6067453,Minister of Housing and Urbanism,Q55718063,Q5791610,2018-03-11,2020-06-04
Q1628673,Senator,Q18882653,Q6095956,2014-03-11,
Q434756,Senator,Q18882653,Q5751049,2014-03-11,2022-03-11
Q5413668,Minister of Public Works,Q55718058,Q5663638,2014-03-11,2018-03-11
Q5947382,intendant of the Metropolitan Region of Santiago,Q9008867,Q5772063,2014-03-11,2018-03-11
Q6017827,Deputy,Q18067639,Q16297876,2014-03-11,2018-03-11
Q5998531,intendant of Coquimbo,Q16140881,Q16300668,2013-08-13,2014-03-11
Q5676522,intendant of the Metropolitan Region of Santiago,Q9008867,Q5640564,2011-07-21,2012-11-05
Q5026539,Minister of Labour,Q55718068,Q8846905,2011-01-16,2013-07-22
Q5577323,Minister of Justice,Q55840124,Q1403184,2010-03-11,2011-07-18
Q6066812,President of the Chamber of Deputies,Q6594729,Q11686373,2008-03-13,2008-08-07
Q9098226,Minister of Agriculture,Q55717940,Q5998231,2008-01-08,2010-03-11
Q20013793,Senator,Q18882653,Q4760139,2006-03-11,2011-01-16
Q2356230,Senator,Q18882653,Q326,2006-03-11,2014-03-11
Q24263712,Deputy,Q18067639,Q5648704,2006-03-11,2018-03-11
Q6097705,Senator,Q18882653,Q5951802,2006-03-11,
Q7561769,Minister of Housing and Urbanism,Q55718063,Q6066562,2006-03-11,2010-03-11
Q628786,Minister of Education,Q27149969,Q5998231,2005-12-14,2006-03-11
Q5995973,intendant of the Metropolitan Region of Santiago,Q9008867,Q6169262,2005-01-27,2006-03-11
Q5658359,President of the Chamber of Deputies,Q6594729,Q451359,2003-03-18,2004-03-16
Q4778513,Deputy,Q18067639,Q5400841,2002-03-11,2010-03-11
Q5772063,Minister of National Assets,Q55717943,Q3160579,2000-12-29,2004-09-29
Q5480221,Minister of Agriculture,Q55717940,Q3160564,2000-03-11,2006-03-11
Q5945699,intendant of the Biobio,Q16579379,Q5925388,2000-03-11,2006-03-11
