wanted,position,positionid,from,start,end
Q6110776,Minister of National Assets,Q55717943,Q29813,2019-03-11,2012-11-05
Q19831262,intendant of Coquimbo,Q16140881,Q16300668,2013-08-13,2014-03-11
Q5947382,intendant of the Metropolitan Region of Santiago,Q9008867,Q5640564,2011-07-21,2012-11-05
Q501752,Minister of Justice,Q55840124,Q1403184,2010-03-11,2011-07-18
Q6110776,Minister of Housing and Urbanism,Q55718063,Q522437,2010-03-11,2011-04-19
Q5993267,intendant of the Metropolitan Region of Santiago,Q9008867,Q6172783,2008-01-07,2008-11-06
Q6110876,President of the Chamber of Deputies,Q6594729,Q5865610,2008,2009
Q5819044,Minister of Public Works,Q55718058,Q5399541,2005-01-03,2006-03-11
Q6056154,President of the Chamber of Deputies,Q6594729,Q451359,2003-03-18,2004-03-16
Q7561769,Minister of Housing and Urbanism,Q55718063,Q3160579,2000-12-29,2004-09-29
Q7561769,Minister of National Assets,Q55717943,Q3160579,2000-12-29,2004-09-29
Q9098226,Minister of Agriculture,Q55717940,Q3160564,2000-03-11,2006-03-11
Q3266618,Minister of Justice,Q55840124,Q3810389,1999-12-16,2003-03-03
Q6165391,President of the Chamber of Deputies,Q6594729,Q5751049,1999-03-11,2000-03-22
Q6108485,Minister of Labour,Q55718068,Q5878755,1998-08-01,2000-03-11
Q16302157,Deputy,Q18067639,Q5951802,1990-03-11,2006-03-11
