item,itemLabel,startDate,endDate
,Arturo Álvarez Sgolia,1974-12-04,1978-12-28
,Jaime Núñez Cabrera,1978-12-29,1981-01-13
,Alejandro González Samohod,1981-02-01,1985-01-27
,Gabriel Alliende Figueroa,1985-01-28,1987-12-14
Q3187641,Juan Emilio Cheyre Espinosa,1987-12-15,1990-03-11
Q7299732,Raúl Armando Barrionuevo,1990-04,1992-11
,Guillermo Cuellar Garriga,1992-11,1994-03-11
,Eduardo Morales Espinosa,1994-03-11,2000-03-11
Q23071124,Armando Arancibia Calderón,2000-03-11,2001-12-26
Q3571936,Yasna Provoste Campillay,2001-12-26,2004-09-30
,Rodrigo Rojas Veas,2004-10-01,2006-03-11
,Julieta Cruz Figueroa,2006-03-11,2007-01-22
Q5638292,Viviana Ireland Cortés,2007-01-22,2010-03-11
Q6169261,Ximena Matas Quilodrán,2010-03-11,2012-05-31
Q6097826,Rafael Prohens Espinosa,2012-06-01,2014-03-11
Q18630583,Miguel Vargas Correa,2014-03-11,2017-07-21
Q102419623,Alexandra Núñez Sorich,2017-07-21,2018-03-11
,Berta Torres Licuime,2018-03-11,2018-07-10
Q56551619,Francisco Sánchez Barrera,2018-07-11,2019-02-20
Q62842578,Patricio Urquieta García,2019-03-18,2021-07-14
