item,itemLabel,startDate,endDate,psid
Q10891823,Sergio Romero,1997-03-11,1998-03-11,Q10891823-C40249B3-87EC-4238-B8BB-FA4E2963167F
Q10891823,Sergio Romero,2005-03-11,2006-03-11,Q10891823-D8AB8FE3-9DBB-45A4-863F-7C581B8EA480
Q1628673,Camilo Escalona,2012-03-11,2013-03-20,Q1628673-66B3636F-7B55-419C-8B46-B01563A3B263
Q2356230,Gabriel Valdés Subercaseaux,1990-03-11,1996-03-11,Q2356230-AB4E8600-9954-48F1-8536-3C4CDDB731CB
Q2600525,Andrés Zaldívar,1998-03-11,2004-03-11,Q2600525-113746CC-35BA-4BDE-A561-B723C7A67A36
Q2600525,Andrés Zaldívar,2017-03-21,2018-03-11,Q2600525-B26EA823-F5FE-40D1-8C87-B9E1482A0108
Q3187183,Jovino Novoa,2009-03-11,2010-03-11,Q3187183-591C6905-A924-4D43-A3C6-22A5299BA92E
Q326,Eduardo Frei Ruiz-Tagle,2006-03-11,2008-03-11,Q326-DA10B75F-AC00-4298-901D-B310D87EEAB3
Q3430265,Ricardo Lagos Weber,2016-03-15,2017-03-21,Q3430265-CC2B97BB-014C-41A2-9E04-E22277226E85
Q3460282,Guido Girardi,2011-03-15,2012-03-20,Q3460282-0F0458D9-E9F2-4146-9F17-DEA73E8C0E79
Q3571936,Yasna Provoste,2021-03-17,2021-08-25,Q3571936-24AD2AE4-A093-4B7A-837A-DCC6093EAFC6
Q451359,María Isabel Allende,2014-03-11,2015-03-10,Q451359-2c269e69-4e6c-fbdb-76bf-9df3e52a62df
Q5658359,Adriana Muñoz,2020-03-17,2021-03-17,Q5658359-F3CCEF54-8C68-4EF7-AFC7-A251305271BD
Q5742466,Hernán Larraín,2004-03-16,2005-03-11,Q5742466-500FBE95-B724-4395-B857-A85A0ADDDB8F
Q5751049,Carlos Montes Cisternas,2018-03-11,2019-03-12,Q5751049-DF51C3E5-F51C-4265-99A9-5C3941FEF8E8
Q5925286,Jaime Quintana,2019-03-12,2020-03-17,Q5925286-FF01F2F7-CF24-48F4-957D-C646D6EF6A44
Q6066812,Patricio Walker,2015-03-11,2016-03-15,Q6066812-F2B4514E-BDAC-44D3-AF35-921BCD8B5DA9
Q6125415,Sergio Diez,1996-03-11,1997-03-11,Q6125415-683114A4-E6F3-4D91-8EC9-6A18A2A570F9
Q6169262,Ximena Rincón,2021-08-25,,Q6169262-4F332765-392C-490C-9773-D0413CA4A3D0
Q6278486,Jorge Pizarro,2010-03-11,2011-03-11,Q6278486-31D25EBD-A151-40F0-AD0A-DCFFB5D1DFDF
Q6278486,Jorge Pizarro,2013-03-20,2014-03-11,Q6278486-AED3125C-EDD1-4C3F-B4CD-9A400D6A80AE
Q930844,Adolfo Zaldívar,2008-03-11,2009-03-11,Q930844-3B103762-284B-49B0-A9BC-61D3009DADF5
