item,itemLabel,startDate,endDate
Q5922698,Ismael Tocornal Tocornal,1925,1929
Q887497,Emiliano Figueroa Larraín,1929,1931
Q18285981,Francisco Garcés Gana,1931,1932
Q5704528,Armando Jaramillo Valderrama,1932,1933
Q6100062,Guillermo Subercaseaux Pérez,1933,1939
Q6757160,Marcial Mora Miranda,1939,1940
Q5833678,Enrique Oyarzún Mondaca,1940,1946
Q320396,Manuel Trucco Franzani,1946,1951
Q5707356,Arturo Maschke Tornero,1953,1959
Q5819221,Eduardo Figueroa Geisse,1959,1961
Q5983835,Luis Mackenna Shiell,1962,1964
Q5556165,Sergio Molina Silva,1964,1967
Q5750927,Carlos Massad Abud,1967,1970
,Alfonso Inostroza Cuevas,1970,1973
Q2939398,Carlos Matus Romo,1973-06,1973-09-11
,Eduardo Cano Quijada,1973,1975
Q41421135,Pablo Baraona Urzúa,1975,1976
Q9098177,Álvaro Bardón Muñoz,1977,1981
Q6125689,Sergio de la Cuadra Fabres,1981,1982
Q3890688,Miguel Kast Rist,1982-04-23,1982-09-02
Q5750112,Carlos Cáceres Contreras,1982-09-03,1983-02-13
Q5837490,Hernán Felipe Errázuriz Correa,1983-02-14,1984-05-02
Q22992270,Francisco Ibáñez Barceló,1984-05-12,1985-01-06
Q5833797,Enrique Seguel Morel,1985-01-07,1989-04-03
Q110103555,Manuel Concha Martínez,1989-04,1989-12-09
Q5675597,Andrés Bianchi Larre,1989-12-09,1991-12-07
Q6110061,Roberto Zahler Mayanz,1991-12-09,1996-06-27
Q5750927,Carlos Massad Abud,1996-09-16,2003-05-01
Q9094553,Vittorio Corbo Lioi,2003-05-01,2007-12-06
Q9014921,José De Gregorio Rebeco,2007-12-07,2011-12-07
Q3380860,Rodrigo Vergara Montes,2011-12-10,2016-12-10
Q5998841,Mario Marcel Cullell,2016-12-11,2022-01-27
Q6112329,Rossana Costa,2022-02-03,
