item,itemLabel,startDate,endDate,sourceDate,psid
Q5750927,Carlos Massad,1996-09-16,2003-05-01,,Q5750927-0D9F3DB5-F318-4CAE-B873-907CF4815C60
Q9094553,Vittorio Corbo,2003-05-01,2007-12-06,,Q9094553-62350D39-D605-47CC-A9E5-59F5D7B6624C
Q9014921,José De Gregorio,2007-12-07,2011-12-07,,Q9014921-67A76120-44EF-46BF-B3F5-4AC27A0644E2
Q3380860,Rodrigo Vergara,2011-12-10,2016-12-10,,Q3380860-9DFB9D9A-369E-4678-A827-EA6E1C43D9F3
Q5998841,Mario Marcel,2016-12-11,2022-01-27,,Q5998841-B51EF468-9D7A-4800-AD57-2542760538D0
Q6112329,Rosanna Costa,2022-02-03,,,Q6112329-80F4A6B7-8F5E-42F8-ADEF-7B4C0C05E510
