wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q102217865,Rodrigo Cerda Norambuena,Rodrigo Cerda Norambuena,,,Q55718046,Minister of Finance - Chile,2021-01-26,2022-03-11,Q102217865-2d112f57-435b-d94f-b83d-108ad505938c
Q104795337,María Emilia Undurraga,María Emilia Undurraga,,,Q55717940,Agriculture minister of Chile,2021-01-06,2022-03-11,Q104795337-0e47451f-4d53-120b-9d88-b65347edd554
Q16297719,Jaime Bellolio,Jaime Bellolio,,,Q55718069,minister Secretary General of Government of Chile,2020-07-28,2022-03-11,Q16297719-37308b35-450d-eded-7208-35cacfa9a764
Q16302468,Mónica Zalaquett,Mónica Zalaquett,,,Q55718049,Minister for Women,2020-06-09,2022-03-11,Q16302468-81662d69-42a3-dcea-f47e-9a4c1da79ead
Q16584439,Juan Carlos Jobet,Juan Carlos Jobet,,,Q55717973,Minister of Energy (Chile),2019-06-13,2022-03-11,Q16584439-1057ae6f-41c3-ae82-3877-0d43710d90ff
Q16584439,Juan Carlos Jobet,Juan Carlos Jobet,,,Q55718056,Minister of Mining,2020-12-18,2022-03-11,Q16584439-b63c3ef6-4ccf-a076-ffd3-435268bdb2ab
Q16625878,Rodrigo Delgado,Rodrigo Delgado,,,Q55718065,Interior and Public Security Minister of Chile,2020-11-04,2022-03-11,Q16625878-5b294666-4e19-4a6c-a4bf-83c1035e4e79
Q2396467,Mauricio Rojas,Mauricio Rojas,,,Q55718051,Minister of Culture and the Arts,2018-08-09,2018-08-13,Q2396467-019d95d8-4885-82d7-e2d4-fd0179b5c8e1
Q3486821,Jaime Mañalich,Jaime Mañalich,,,Q22341446,Chilean minister of Health,2019-06-13,2020-06-13,Q3486821-6fb3b203-4256-e6ae-2565-3cc0cea3a8ab
Q47509510,Isabel Plá,Isabel Plá,,,Q55718049,Minister for Women,2018-03-11,2020-03-13,Q47509510-29cf3e81-4ed7-027d-441d-f12d46406397
Q4760139,Andrés Allamand,Andrés Allamand,https://en.wikipedia.org/wiki/Andrés_Allamand,2022-02-07,Q24262884,Minister of Foreign Affairs of Chile,2020-07-28,2022-02-06,Q4760139-71E025D3-2841-41A8-A8C8-F11A44AD79F5
Q4760169,Andrés Chadwick,Andrés Chadwick,,,Q55718065,Interior and Public Security Minister of Chile,2018-03-11,2019-10-28,Q4760169-c31ad62a-4d5d-2c56-b304-8030b94cd567
Q4850447,Baldo Prokurica,Baldo Prokurica,,,Q55717944,minister of National Defence of Chile,2020-12-18,2022-03-11,Q4850447-85591043-4233-dd9d-a9c7-3625eb032534
Q4850447,Baldo Prokurica,Baldo Prokurica,,,Q55718056,Minister of Mining,2018-03-11,2020-12-18,Q4850447-c57adb8c-4ac3-65a0-d4f4-6b02cd96ab55
Q501752,Teodoro Ribera,Teodoro Ribera,,,Q24262884,minister of Foreign Affairs of Chile,2019-06-13,2020-07-28,Q501752-1c7ed9d2-4c25-a602-ee73-7acb205a2138
Q50532720,Gonzalo Blumel,Gonzalo Blumel,,,Q55718065,Interior and Public Security Minister of Chile,2019-10-28,2020-07-28,Q50532720-472EDBFC-EEF8-4415-9A0C-F7D455CB5481
Q50532720,Gonzalo Blumel,Gonzalo Blumel,,,Q55718071,Minister Secretary General of the Presidency of Chile,2018-03-11,2019-10-28,Q50532720-846ba74e-4a5b-2035-557c-f0b849f3c0a4
Q50820982,Raúl Figueroa,Raúl Figueroa,,,Q27149969,Minister of Education of Chile,2020-02-28,2022-03-11,Q50820982-ec596b6e-3c47-4e3d-bcd5-23ea9b622cf0
Q55640611,Sebastián Sichel,Sebastián Sichel,,,Q63980185,Minister of Social Development and Family (Chile),2019-06-13,2020-06-04,Q55640611-2d2bcd9e-4df9-4c86-cd12-62b003960e07
Q55767801,Gerardo Varela,Gerardo Varela,,,Q27149969,Minister of Education of Chile,2018-03-11,2018-08-09,Q55767801-3ca1958c-47c2-dc3f-61bb-fe4905b41d01
Q56037180,Alejandra Pérez,Alejandra Pérez,,,Q55718051,Minister of Culture and the Arts,2018-03-11,2018-08-09,Q56037180-17147c3e-4810-fcef-2961-fdc8432be2f0
Q56072569,Consuelo Valdés,Consuelo Valdés,,,Q55718051,Minister of Culture and the Arts,2018-08-13,2022-03-11,Q56072569-63d1ad1e-49f2-5136-3a56-e93e1828c70e
Q56167729,Pauline Kantor,Pauline Kantor,,,Q55718064,sports minister of Chile,2018-03-11,2019-10-28,Q56167729-E632E97A-9D54-4A43-B63D-612A6884279C
Q5640564,Cecilia Pérez,Cecilia Pérez,,,Q55718064,sports minister of Chile,2019-10-28,2022-03-11,Q5640564-21af3da5-4649-c67c-f2a3-2e33a74f9bb5
Q5640564,Cecilia Pérez,Cecilia Pérez,,,Q55718069,minister Secretary General of Government of Chile,2018-03-11,2019-10-28,Q5640564-59E5E83B-3CC2-4040-9E85-D563258F7DA5
Q5663007,Alberto Espina,Alberto Espina,,,Q55717944,minister of National Defence of Chile,2018-03-11,2020-07-28,Q5663007-16EE9F0F-876D-45F7-A0DF-092E126F1596
Q5742466,Hernán Larraín,Hernán Larraín,,,Q55718048,Minister of Justice and Human Rights,2018-03-11,2022-03-11,Q5742466-f31b2440-42c4-47c1-df5f-c1d93d03253a
Q5771849,Claudio Alvarado,Claudio Alvarado,,,Q55718071,Minister Secretary General of the Presidency of Chile,2020-06-04,2020-07-28,Q5771849-ccecc6fe-4197-c309-c449-b5f138716ab6
Q5791610,Cristián Monckeberg,Cristián Monckeberg,,,Q55718071,Minister Secretary General of the Presidency of Chile,2020-07-28,2021-01-06,Q5791610-0728c1fb-455a-b01f-0479-28e4ca63b094
Q5791610,Cristián Monckeberg,Cristián Monckeberg,,,Q63980185,Minister of Social Development and Family (Chile),2020-06-04,2020-07-28,Q5791610-4e1ff69c-4504-fb51-ad7a-df52ac5b16b5
Q5791610,Cristián Monckeberg,Cristián Monckeberg,,,Q55718063,Minister of Housing and Urbanism of Chile,2018-03-11,2020-06-04,Q5791610-9475ed64-4191-ec94-3c9d-f83875eaed82
Q58009685,José Ramón Valente Vias,José Ramón Valente Vias,,,Q55717969,"Minister of Economy, Development and Tourism",2018-03-11,2019-06-13,Q58009685-27C44312-11A8-4A3A-A3B5-718F62543606
Q58293,Alfredo Moreno,Alfredo Moreno,,,Q63980185,Minister of Social Development and Family (Chile),2019-04-02,2019-06-13,Q58293-497002b2-4510-183a-5ca0-f9b5b1ee4099
Q58293,Alfredo Moreno,Alfredo Moreno,,,Q55717968,Minister of Social Development of Chile,2018-03-11,2019-04-02,Q58293-a0384d7a-4baa-dfd4-5f7d-ba7d70424464
Q58293,Alfredo Moreno,Alfredo Moreno,,,Q55718058,Minister of Public Works of Chile,2019-06-13,2022-03-11,Q58293-c477b585-412b-68bf-4aa4-8835eecdb576
