wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q5858275,Felipe Larraín Bascuñán,Felipe Larraín Bascuñán,,,Q55718046,Minister of Finance - Chile,2018-03-11,2019-10-28,Q5858275-5166EA57-EFDB-425D-91DD-B0EDB06A2178
Q5858483,Felipe Ward,Felipe Ward,,,Q55717943,minister of National Assets of Chile,2018-03-11,2019-10-28,Q5858483-30a61507-4c0f-7c03-edc2-1a4a17a52d9e
Q5858483,Felipe Ward,Felipe Ward,,,Q55718071,Minister Secretary General of the Presidency of Chile,2019-10-28,2020-06-04,Q5858483-6b28984d-4cc8-61e0-c256-3605cecf8b0f
Q5858483,Felipe Ward,Felipe Ward,,,Q55718063,Minister of Housing and Urbanism of Chile,2020-06-04,2022-03-11,Q5858483-f15a679d-468e-321d-3b63-b0286f20ab9a
Q5881260,Gloria Hutt,Gloria Hutt,,,Q55718060,Transport and Telecommunications Minister of Chile,2018-03-11,2022-03-11,Q5881260-0fbc5c62-4bb3-5536-fb15-4de23f476f2e
Q5958343,Karla Rubilar,Karla Rubilar,,,Q55718069,minister Secretary General of Government of Chile,2019-10-28,2020-07-28,Q5958343-95a0127a-4f80-4a8f-03e2-15a541707405
Q5958343,Karla Rubilar,Karla Rubilar,,,Q63980185,Minister of Social Development and Family (Chile),2020-07-28,2022-03-11,Q5958343-c00e4ff1-4766-b6ec-a6d6-d391a899d642
Q59797711,Antonio Walker,Antonio Walker,,,Q55717940,Agriculture minister of Chile,2018-03-11,2021-01-06,Q59797711-fa8d6f33-44bf-e48f-2878-d29df8fb608a
Q59821999,Andrés Couve,Andrés Couve,,,Q59831726,"Minister of Science, Technology, Knowledge and Innovation",2018-12-17,2022-03-11,Q59821999-72e8d6fa-4206-5249-d504-a5d5001acfb7
Q5988683,Macarena Santelices,Macarena Santelices,,,Q55718049,Minister for Women,2020-05-06,2020-06-09,Q5988683-fa3260ac-4502-2943-8322-d914c6c372dd
Q5995504,Marcela Cubillos,Marcela Cubillos,,,Q55718067,Environment Minister,2018-03-11,2018-08-09,Q5995504-50EC7EEF-0DC4-4C1B-BE55-C2086539833C
Q5995504,Marcela Cubillos,Marcela Cubillos,,,Q27149969,Minister of Education of Chile,2018-08-09,2020-02-28,Q5995504-a5791d6c-4412-56e4-ff77-3c616a2e588c
Q5998614,Mario Desbordes,Mario Desbordes,,,Q55717944,minister of National Defence of Chile,2020-07-28,2020-12-18,Q5998614-6e2acf84-40fb-3a26-1e10-4f02e3f1387f
Q60032521,Emilio Santelices,Emilio Santelices,,,Q22341446,Chilean minister of Health,2018-03-11,2019-06-13,Q60032521-14117f4b-40db-42fd-adbb-0c5e487acdb7
Q6066731,Patricio Melero,Patricio Melero,https://en.wikipedia.org/wiki/Patricio_Melero,2022-03-12,Q55718068,Minister of Labor and Social Providence,2021-04-07,2022-03-11,Q6066731-0DB2DDD5-2CA4-43A9-AE6A-913F4BD7AAD4
Q6165698,Víctor Pérez Varela,Víctor Pérez Varela,,,Q55718065,Interior and Public Security Minister of Chile,2020-07-28,2020-11-03,Q6165698-34b801e3-43a2-66bd-8e70-3258970c12d2
Q64596365,Susana Jiménez Schuster,Susana Jiménez Schuster,https://en.wikipedia.org/wiki/Susana_Jiménez_Schuster,2022-01-03,Q55717973,Minister of Energy,2018-03-11,2019-07-13,Q64596365-A04A6D18-D710-4AB5-844F-22AD05067437
Q7030399,Nicolás Monckeberg,Nicolás Monckeberg,,,Q55718068,Minister of Labour,2018-03-11,2019-10-28,Q7030399-0e5547d7-4a7e-5f63-0b26-50be27a183e8
Q72724393,Julio Isamit,Julio Isamit,,,Q55717943,minister of National Assets of Chile,2019-10-28,2022-03-11,Q72724393-89607151-4bb7-046e-8462-64347ec8c972
Q72749842,Ignacio Briones,Ignacio Briones,,,Q55718046,Minister of Finance - Chile,2019-10-28,2021-01-26,Q72749842-a424a736-45fe-bd79-6e40-9adcdb301e8c
Q72753586,María José Zaldivar,María José Zaldivar,,,Q55718068,Minister of Labour,2019-10-28,2021-04-07,Q72753586-8dcb6248-4964-88bd-6497-e7802e4ae3f0
Q72869572,Lucas Palacios,Lucas Palacios,https://en.wikipedia.org/wiki/Lucas_Palacios,2022-01-03,Q55717969,"Minister of Economy, Development and Tourism",2019-10-28,2022-03-11,Q72869572-53C482C8-B6AA-47BA-8F39-180185BB4D3A
Q734056,Carolina Schmidt,Carolina Schmidt,https://en.wikipedia.org/wiki/Carolina_Schmidt,2022-01-03,Q55718067,Minister for the Environment,2018-08-09,2021-11-22,Q734056-B1CC0E73-1C81-4FAF-979F-8E052FBE27A6
Q78097168,Carolina Valdivia Torres,Carolina Valdivia Torres,,,Q24262884,minister of Foreign Affairs of Chile,2022-02-06,2022-03-11,Q78097168-63409553-2D7B-48B0-9EBE-A9A53AB8B70C
Q87086583,Carolina Cuevas Merino,Carolina Cuevas Merino,https://en.wikipedia.org/wiki/Carolina_Cuevas_Merino,2022-01-03,Q55718049,Minister of Woman,2020-03-13,2020-05-06,Q87086583-F8C72000-B23E-4417-A188-6F98BE034C86
Q88987534,Javier Naranjo Solano,Javier Naranjo Solano,https://en.wikipedia.org/wiki/Javier_Naranjo_Solano,2022-01-03,Q55718067,Minister for the Environment,2021-11-22,2022-03-11,Q88987534-5485CD84-CC35-4FA7-A364-881849475696
Q88996421,Juan José Ossa,Juan José Ossa,,,Q55718071,Minister Secretary General of the Presidency of Chile,2021-01-06,2022-03-11,Q88996421-31bd2ce9-48cd-7044-a3ef-b5d8e07a0ce1
Q9015138,Juan Andrés Fontaine Talavera,Juan Andrés Fontaine Talavera,,,Q55718058,Minister of Public Works of Chile,2018-03-11,2019-06-13,Q9015138-96bcf58a-49eb-c089-bfc8-16e6472eb7aa
Q9015138,Juan Andrés Fontaine Talavera,Juan Andrés Fontaine Talavera,,,Q55717969,"Minister of Economy, Development and Tourism",2019-06-13,2019-10-28,Q9015138-a8fd5bfa-4401-a155-e7ec-046491b9b02a
Q922795,Roberto Ampuero,Roberto Ampuero,,,Q24262884,minister of Foreign Affairs of Chile,2018-03-11,2019-06-13,Q922795-b34d21dd-4c6a-ddce-d55f-817e764156b3
Q96254224,Enrique Paris,Enrique Paris,,,Q22341446,Chilean minister of Health,2020-06-13,2022-03-11,Q96254224-61633269-4d0b-0907-6cb6-d77af80e53db
