@@,wdid,name,position,startdate,enddate
->,Q96254224,Enrique Paris,Chilean minister of Health->Health,2020-06-13,2022-03-11
->,Q922795,Roberto Ampuero,minister of Foreign Affairs of Chile->Foreign Affairs,2018-03-11,2019-06-13
->,Q9015138,Juan Andrés Fontaine Talavera->Juan Andrés Fontaine,Minister of Public Works of Chile->Public Works,2018-03-11,2019-06-13
->,Q9015138,Juan Andrés Fontaine Talavera->Juan Andrés Fontaine,"Minister of Economy, Development and Tourism->Economy",2019-06-13,2019-10-28
->,Q88987534,Javier Naranjo Solano,Minister for the Environment->Environment,2021-11-22->2021-11-23,2022-03-11
->,Q87086583,Carolina Cuevas Merino,Minister of Woman->Women,2020-03-13,2020-05-06
->,Q78097168,Carolina Valdivia Torres->Carolina Valdivia,minister of Foreign Affairs of Chile->Foreign Affairs,2022-02-06,2022-03-11
->,Q734056,Carolina Schmidt,Minister for the Environment->Environment,2018-08-09,2021-11-22
->,Q72869572,Lucas Palacios,"Minister of Economy, Development and Tourism->Economy",2019-10-28,2022-03-11
->,Q72753586,María José Zaldivar->María José Zaldívar,Minister of Labour->Labor,2019-10-28,2021-04-07
->,Q72749842,Ignacio Briones,Minister of Finance - Chile->Finance,2019-10-28,2021-01-26
->,Q72724393,Julio Isamit,minister of National Assets of Chile->National Assets,2019-10-28,2022-03-11
->,Q7030399,Nicolás Monckeberg,Minister of Labour->Labor,2018-03-11,2019-10-28
->,Q64596365,Susana Jiménez Schuster,Minister of Energy->Energy,2018-03-11,2019-07-13->2019-06-13
->,Q6165698,Víctor Pérez Varela->Víctor Pérez,Interior and Public Security Minister of Chile->Interior,2020-07-28,2020-11-03
->,Q6066731,Patricio Melero,Minister of Labor and Social Providence->Labor,2021-04-07,2022-03-11
->,Q60032521,Emilio Santelices,Chilean minister of Health->Health,2018-03-11,2019-06-13
->,Q5998614,Mario Desbordes,minister of National Defence of Chile->Defense,2020-07-28,2020-12-18
->,Q5995504,Marcela Cubillos,Environment Minister->Environment,2018-03-11,2018-08-09
->,Q5995504,Marcela Cubillos,Minister of Education of Chile->Education,2018-08-09->2018-08-19,2020-02-28
->,Q5988683,Macarena Santelices,Minister for Women->Women,2020-05-06,2020-06-09
->,Q59797711,Antonio Walker,Agriculture minister of Chile->Agriculture,2018-03-11,2021-01-06->2019-10-28
->,Q5958343,Karla Rubilar,Minister of Social Development and Family (Chile)->SocialDevelopment,2020-07-28,2022-03-11
->,Q5958343,Karla Rubilar,minister Secretary General of Government of Chile->Gen. Sec. ofGovernment,2019-10-28,2020-07-28
->,Q5881260,Gloria Hutt,Transport and Telecommunications Minister of Chile->Transport &Telecom,2018-03-11,2022-03-11
->,Q5858483,Felipe Ward,Minister of Housing and Urbanism of Chile->Housing &Urbanism,2020-06-04,2022-03-11
